ac,floored charge rate,sd/a
6.200819672,5,0.000692131
6.196721311,5,0.000728197
6.196721311,5,0.000758653
6.200819672,5,0.000756364
6.196721311,5,0.000672205
6.204918033,5,0.000456424
6.204918033,5,0.000502976
6.200819672,5,0.000486007
6.204918033,5,0.000514644
6.209016393,5,0.000626103
6.209016393,5,0.000656187
6.209016393,5,0.000706106
6.209016393,5,0.000491308
6.209016393,5,0.000499128
6.213114754,5,0.000585183
6.213114754,5,0.000754484
6.221311475,5,0.001203316
6.217213115,5,0.001316861
6.221311475,5,0.001437766
6.221311475,5,0.001425956
6.221311475,5,0.001329343
6.221311475,5,0.001017989
6.225409836,5,0.000721457
6.225409836,5,0.000584243
6.229508197,5,0.000756445
6.229508197,5,0.00070125
6.233606557,5,0.000810376
6.233606557,5,0.000786593
6.237704918,5,0.000861386
6.237704918,5,0.000786076
6.241803279,5,0.00086082
6.241803279,5,0.000785559
6.245901639,5,0.001300537
6.245901639,5,0.00145386
6.245901639,5,0.001517085
6.25,5,0.001524612
6.254098361,5,0.001580413
6.254098361,5,0.001488837
6.254098361,5,0.001314989
6.258196721,5,0.000936874
6.262295082,5,0.001087742
6.266393443,5,0.001207115
6.270491803,5,0.001250446
6.270491803,5,0.001094597
6.270491803,5,0.000960782
6.278688525,5,0.00100165
6.282786885,5,0.000995325
6.282786885,5,0.000943456
6.282786885,5,0.000810196
6.290983607,5,0.000847419
6.290983607,5,0.000897064
6.295081967,5,0.000863038
6.299180328,5,0.000788864
6.303278689,5,0.000992457
6.307377049,5,0.00117507
6.307377049,5,0.001261751
6.31557377,5,0.001218487
6.31557377,5,0.001240499
6.31557377,5,0.001076003
6.319672131,5,0.000995068
6.319672131,5,0.000795708
6.331967213,5,0.000912503
6.331967213,5,0.000917551
6.340163934,5,0.001058305
6.340163934,5,0.001218633
6.344262295,5,0.001553749
6.344262295,5,0.001653472
6.344262295,5,0.001689095
6.352459016,5,0.001451948
6.352459016,5,0.001414475
6.356557377,5,0.001256081
6.356557377,5,0.001129214
6.360655738,5,0.000901716
6.364754098,5,0.000988852
6.364754098,5,0.00092695
6.368852459,5,0.00080291
6.37704918,5,0.001129664
6.37704918,5,0.001216631
6.37704918,5,0.001260983
6.381147541,5,0.001187947
6.381147541,5,0.001073169
6.389344262,5,0.00119
6.389344262,5,0.001000833
6.389344262,5,0.000780717
6.401639344,5,0.001149974
6.401639344,5,0.001269388
6.401639344,5,0.001215455
6.401639344,5,0.001145969
6.401639344,5,0.000932852
6.405737705,5,0.000964496
6.413934426,5,0.001051184
6.413934426,5,0.000867761
6.418032787,5,0.001077808
6.418032787,5,0.001155925
6.418032787,5,0.001130015
6.426229508,5,0.001204435
6.426229508,5,0.001048666
6.426229508,5,0.000835817
6.430327869,5,0.000902497
6.430327869,5,0.000911177
6.43852459,5,0.001188064
6.43852459,5,0.00123692
6.43852459,5,0.001089457
6.442622951,5,0.0011689
6.442622951,5,0.001059185
6.450819672,5,0.001008005
6.450819672,5,0.000905367
6.454918033,5,0.000846492
6.454918033,5,0.000910282
6.463114754,5,0.001135116
6.467213115,5,0.001289561
6.467213115,5,0.001354541
6.467213115,5,0.00114694
6.471311475,5,0.001162043
6.479508197,5,0.001264895
6.483606557,5,0.001396194
6.483606557,5,0.001438165
6.483606557,5,0.001490652
6.491803279,5,0.001715522
6.495901639,5,0.001819966
6.495901639,5,0.001643263
6.504098361,5,0.001562365
6.504098361,5,0.001485674
6.508196721,5,0.00143078
6.516393443,5,0.00158079
6.516393443,5,0.001428977
6.520491803,5,0.001445442
6.516393443,5,0.001249704
6.524590164,5,0.001008012
6.528688525,5,0.001009158
6.528688525,5,0.000841895
6.528688525,5,0.000674504
6.528688525,5,0.000682321
6.532786885,5,0.000742172
6.532786885,5,0.000804734
6.532786885,5,0.000443814
6.532786885,5,0.000335439
6.532786885,5,0.000324762
